Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_DeepFPU_SIR,Reverb_DeepFPU_SINR,Reverb_DeepFPU_PESQ_NB,Reverb_DeepFPU_PESQ_WB,Reverb_DeepFPU_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_DeepFPU_SIR,NoReverb_DeepFPU_SINR,NoReverb_DeepFPU_PESQ_NB,NoReverb_DeepFPU_PESQ_WB,NoReverb_DeepFPU_STOI
batch_test_000,0.02,-2.10,1.390,1.042,0.580,8.75,3.37,1.716,1.175,0.667,-0.00,-2.14,1.315,1.020,0.659,11.65,2.74,1.811,1.097,0.710
batch_test_001,-0.04,-2.14,1.616,1.091,0.619,1.11,-0.67,2.112,1.419,0.651,0.01,-2.11,1.554,1.065,0.731,-0.32,-2.29,2.081,1.388,0.713
batch_test_002,-0.01,-2.13,1.231,1.031,0.580,8.41,4.68,1.828,1.186,0.685,-0.04,-2.15,1.198,1.027,0.705,3.09,0.79,1.713,1.092,0.774
batch_test_003,0.00,-2.11,1.417,1.049,0.475,18.02,6.89,1.833,1.388,0.634,-0.03,-2.13,1.312,1.031,0.507,19.07,6.98,1.731,1.300,0.651
batch_test_004,-0.02,-2.14,1.273,1.053,0.497,13.42,4.08,1.650,1.258,0.588,0.01,-2.12,1.221,1.051,0.612,15.62,5.64,1.623,1.197,0.695
batch_test_005,-0.01,-2.14,1.279,1.028,0.551,4.58,1.26,1.720,1.219,0.604,-0.02,-2.14,1.286,1.027,0.738,-3.78,-4.69,1.713,1.187,0.753
batch_test_006,-0.01,-2.14,1.204,1.029,0.591,22.77,9.25,1.908,1.436,0.726,-0.00,-2.15,1.176,1.029,0.706,31.22,9.23,2.026,1.334,0.795
batch_test_007,0.02,-2.12,1.347,1.082,0.505,12.31,4.31,1.550,1.158,0.614,-0.01,-2.13,1.269,1.067,0.582,20.28,6.85,1.681,1.175,0.675
batch_test_008,0.03,-2.10,1.509,1.044,0.641,11.94,4.02,1.952,1.397,0.734,0.00,-2.14,1.404,1.040,0.722,20.50,5.14,1.828,1.284,0.804
batch_test_009,-0.04,-2.17,1.491,1.056,0.661,0.56,-0.60,2.364,1.453,0.762,0.01,-2.13,1.312,1.036,0.778,0.01,-1.04,2.007,1.247,0.819
batch_test_010,-0.01,-2.13,1.446,1.065,0.586,16.55,7.03,2.095,1.520,0.750,0.02,-2.10,1.362,1.041,0.653,27.83,7.67,1.955,1.425,0.807
batch_test_011,-0.00,-2.12,1.322,1.033,0.575,10.04,3.47,1.559,1.179,0.724,-0.00,-2.13,1.202,1.034,0.688,24.35,4.59,1.610,1.205,0.805
batch_test_012,-0.04,-2.15,1.274,1.040,0.563,19.00,8.46,1.926,1.342,0.747,-0.02,-2.13,1.186,1.033,0.596,24.15,8.82,1.598,1.138,0.748
batch_test_013,-0.05,-2.19,1.930,1.072,0.573,4.63,1.04,2.299,1.209,0.641,0.03,-2.12,1.855,1.037,0.622,1.94,-0.66,2.246,1.125,0.667
batch_test_014,0.01,-2.12,1.231,1.035,0.482,14.86,5.42,1.536,1.204,0.529,-0.04,-2.13,1.167,1.025,0.571,19.34,7.24,1.646,1.150,0.666
batch_test_015,0.03,-2.14,1.427,1.047,0.606,16.51,5.41,1.917,1.305,0.719,-0.04,-2.18,1.375,1.043,0.709,23.04,6.79,1.971,1.265,0.788
batch_test_016,-0.03,-2.15,1.295,1.068,0.701,15.32,6.67,2.059,1.516,0.819,0.00,-2.12,1.259,1.069,0.773,39.19,9.33,2.192,1.472,0.883
batch_test_017,0.00,-2.12,1.327,1.076,0.658,21.42,6.16,1.726,1.308,0.771,-0.06,-2.17,1.206,1.046,0.747,29.69,7.40,1.662,1.242,0.843
batch_test_018,0.03,-2.12,1.414,1.055,0.606,14.95,5.55,1.902,1.328,0.715,0.02,-2.12,1.299,1.047,0.705,18.67,5.81,1.732,1.233,0.791
batch_test_019,0.03,-2.11,1.281,1.035,0.582,17.50,7.34,1.808,1.357,0.678,0.02,-2.15,1.229,1.032,0.695,25.62,8.07,1.838,1.334,0.775
batch_test_020,-0.02,-2.14,1.378,1.066,0.710,14.66,5.77,2.152,1.499,0.833,0.00,-2.10,1.322,1.049,0.816,17.81,4.63,1.844,1.263,0.876
batch_test_021,0.02,-2.12,1.390,1.066,0.535,13.05,5.69,1.923,1.369,0.725,0.04,-2.09,1.314,1.045,0.687,18.59,5.59,1.838,1.228,0.793
batch_test_022,0.03,-2.11,1.392,1.048,0.513,16.34,6.29,1.967,1.374,0.603,-0.01,-2.13,1.311,1.045,0.650,24.72,6.75,1.846,1.239,0.716
batch_test_023,0.02,-2.10,1.205,1.040,0.552,18.69,6.12,1.703,1.206,0.725,-0.03,-2.15,1.204,1.037,0.628,25.56,6.51,1.718,1.207,0.807
batch_test_024,0.01,-2.11,1.232,1.029,0.554,15.23,6.81,1.706,1.225,0.641,0.01,-2.11,1.159,1.022,0.650,13.91,6.36,1.765,1.152,0.728
batch_test_025,0.03,-2.10,1.695,1.091,0.641,30.08,7.35,2.158,1.542,0.720,-0.01,-2.13,1.533,1.074,0.669,34.16,6.09,1.939,1.370,0.739
batch_test_026,-0.04,-2.15,1.336,1.044,0.494,13.25,3.85,1.709,1.214,0.650,-0.01,-2.15,1.205,1.029,0.623,21.13,5.76,1.654,1.153,0.725
batch_test_027,0.01,-2.13,1.325,1.054,0.559,14.22,4.62,1.639,1.219,0.649,0.02,-2.11,1.277,1.045,0.689,19.07,4.77,1.731,1.212,0.743
batch_test_028,0.01,-2.12,1.577,1.086,0.668,16.51,7.30,2.259,1.581,0.763,-0.03,-2.16,1.443,1.068,0.748,23.41,7.75,1.987,1.374,0.816
batch_test_029,-0.04,-2.15,1.336,1.035,0.584,17.85,6.83,1.883,1.354,0.696,-0.03,-2.14,1.273,1.031,0.679,27.55,7.54,2.001,1.323,0.788
batch_test_030,-0.01,-2.14,1.379,1.059,0.483,13.74,4.86,1.781,1.182,0.540,0.01,-2.11,1.217,1.026,0.664,7.92,1.72,1.646,1.112,0.709
