Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_000,0.02,-2.10,1.390,1.042,0.580,29.61,6.23,2.594,1.417,0.866,-0.00,-2.14,1.315,1.020,0.659,33.18,6.58,2.292,1.260,0.851
batch_test_001,-0.04,-2.14,1.616,1.091,0.619,39.72,10.05,2.544,1.787,0.864,0.01,-2.11,1.554,1.065,0.731,44.16,9.91,2.211,1.518,0.892
batch_test_002,-0.01,-2.13,1.231,1.031,0.580,36.89,9.71,1.751,1.261,0.811,-0.04,-2.15,1.198,1.027,0.705,42.61,9.21,1.510,1.141,0.848
batch_test_003,0.00,-2.11,1.417,1.049,0.475,23.96,8.52,3.040,1.616,0.856,-0.03,-2.13,1.312,1.031,0.507,23.25,9.05,2.667,1.493,0.866
batch_test_004,-0.02,-2.14,1.273,1.053,0.497,26.41,7.02,1.789,1.208,0.775,0.01,-2.12,1.221,1.051,0.612,29.57,7.40,1.624,1.112,0.823
batch_test_005,-0.01,-2.14,1.279,1.028,0.551,26.45,7.89,2.557,1.460,0.880,-0.02,-2.14,1.286,1.027,0.738,39.26,8.49,2.022,1.212,0.918
batch_test_006,-0.01,-2.14,1.204,1.029,0.591,34.99,10.19,2.041,1.330,0.839,-0.00,-2.15,1.176,1.029,0.706,37.67,10.20,1.839,1.176,0.867
batch_test_007,0.02,-2.12,1.347,1.082,0.505,29.19,7.40,1.812,1.145,0.764,-0.01,-2.13,1.269,1.067,0.582,32.75,7.81,1.673,1.102,0.795
batch_test_008,0.03,-2.10,1.509,1.044,0.641,28.70,7.24,2.296,1.236,0.893,0.00,-2.14,1.404,1.040,0.722,33.60,7.63,2.003,1.163,0.916
batch_test_009,-0.04,-2.17,1.491,1.056,0.661,54.37,8.27,1.954,1.293,0.850,0.01,-2.13,1.312,1.036,0.778,57.62,9.43,1.715,1.200,0.910
batch_test_010,-0.01,-2.13,1.446,1.065,0.586,28.93,7.08,2.212,1.311,0.848,0.02,-2.10,1.362,1.041,0.653,32.75,7.11,2.026,1.196,0.874
batch_test_011,-0.00,-2.12,1.322,1.033,0.575,28.90,6.28,2.044,1.206,0.874,-0.00,-2.13,1.202,1.034,0.688,32.75,6.80,1.798,1.113,0.901
batch_test_012,-0.04,-2.15,1.274,1.040,0.563,27.57,8.34,1.801,1.169,0.828,-0.02,-2.13,1.186,1.033,0.596,29.68,8.67,1.472,1.069,0.838
batch_test_013,-0.05,-2.19,1.930,1.072,0.573,20.89,6.79,3.010,1.524,0.828,0.03,-2.12,1.855,1.037,0.622,25.31,7.64,2.528,1.350,0.811
batch_test_014,0.01,-2.12,1.231,1.035,0.482,23.69,7.53,1.775,1.160,0.756,-0.04,-2.13,1.167,1.025,0.571,26.30,8.15,1.628,1.091,0.792
batch_test_015,0.03,-2.14,1.427,1.047,0.606,26.09,8.23,2.079,1.303,0.832,-0.04,-2.18,1.375,1.043,0.709,29.30,8.66,1.887,1.185,0.861
batch_test_016,-0.03,-2.15,1.295,1.068,0.701,49.47,6.20,2.175,1.262,0.880,0.00,-2.12,1.259,1.069,0.773,53.01,6.34,1.798,1.133,0.907
batch_test_017,0.00,-2.12,1.327,1.076,0.658,31.85,7.77,2.345,1.338,0.896,-0.06,-2.17,1.206,1.046,0.747,36.65,8.35,2.004,1.184,0.918
batch_test_018,0.03,-2.12,1.414,1.055,0.606,32.48,7.39,1.971,1.242,0.859,0.02,-2.12,1.299,1.047,0.705,33.94,7.67,1.784,1.143,0.884
batch_test_019,0.03,-2.11,1.281,1.035,0.582,29.11,9.58,1.879,1.332,0.837,0.02,-2.15,1.229,1.032,0.695,30.58,8.66,1.691,1.165,0.874
batch_test_020,-0.02,-2.14,1.378,1.066,0.710,25.79,7.24,2.045,1.314,0.899,0.00,-2.10,1.322,1.049,0.816,28.40,7.84,1.878,1.237,0.939
batch_test_021,0.02,-2.12,1.390,1.066,0.535,23.83,7.44,2.128,1.363,0.847,0.04,-2.09,1.314,1.045,0.687,28.59,7.61,1.911,1.160,0.878
batch_test_022,0.03,-2.11,1.392,1.048,0.513,29.10,8.85,2.140,1.559,0.835,-0.01,-2.13,1.311,1.045,0.650,30.62,8.84,1.938,1.358,0.864
batch_test_023,0.02,-2.10,1.205,1.040,0.552,30.61,6.54,2.363,1.221,0.869,-0.03,-2.15,1.204,1.037,0.628,33.24,7.25,2.110,1.158,0.902
batch_test_024,0.01,-2.11,1.232,1.029,0.554,29.48,11.86,2.789,1.843,0.869,0.01,-2.11,1.159,1.022,0.650,30.37,12.51,2.497,1.565,0.889
batch_test_025,0.03,-2.10,1.695,1.091,0.641,37.60,10.43,3.030,1.684,0.857,-0.01,-2.13,1.533,1.074,0.669,42.46,11.22,2.576,1.576,0.857
batch_test_026,-0.04,-2.15,1.336,1.044,0.494,25.56,7.25,2.018,1.278,0.804,-0.01,-2.15,1.205,1.029,0.623,30.42,7.52,1.549,1.095,0.838
batch_test_027,0.01,-2.13,1.325,1.054,0.559,26.72,8.60,2.067,1.410,0.827,0.02,-2.11,1.277,1.045,0.689,31.04,8.70,1.826,1.251,0.864
batch_test_028,0.01,-2.12,1.577,1.086,0.668,38.05,7.99,2.048,1.243,0.845,-0.03,-2.16,1.443,1.068,0.748,38.19,8.43,1.825,1.183,0.877
batch_test_029,-0.04,-2.15,1.336,1.035,0.584,25.72,8.71,2.123,1.298,0.845,-0.03,-2.14,1.273,1.031,0.679,26.57,8.93,1.821,1.176,0.863
batch_test_030,-0.01,-2.14,1.379,1.059,0.483,27.09,9.66,3.095,1.692,0.878,0.01,-2.11,1.217,1.026,0.664,27.75,9.89,2.710,1.454,0.917
batch_test_031,-0.01,-2.13,1.443,1.098,0.604,26.63,8.41,2.184,1.445,0.856,-0.05,-2.18,1.312,1.066,0.721,30.91,8.32,1.882,1.243,0.873
batch_test_032,0.05,-2.10,1.245,1.115,0.530,29.29,6.68,2.328,1.352,0.788,-0.03,-2.15,1.318,1.054,0.578,31.18,6.70,1.918,1.155,0.769
batch_test_033,-0.07,-2.15,1.322,1.034,0.565,23.43,6.69,2.031,1.225,0.842,0.00,-2.15,1.221,1.026,0.663,29.90,6.99,1.662,1.101,0.863
batch_test_034,-0.03,-2.14,1.413,1.044,0.502,26.00,9.30,2.441,1.564,0.804,-0.05,-2.17,1.315,1.037,0.640,28.89,9.24,1.985,1.354,0.851
batch_test_035,-0.05,-2.20,1.258,1.027,0.473,33.26,7.93,1.837,1.184,0.787,-0.01,-2.17,1.197,1.023,0.596,36.43,8.12,1.691,1.147,0.811
batch_test_036,-0.02,-2.15,1.593,1.096,0.660,68.47,6.46,1.803,1.188,0.759,-0.02,-2.13,1.522,1.081,0.742,66.70,6.45,1.695,1.138,0.831
batch_test_037,0.01,-2.13,1.301,1.038,0.552,25.34,6.22,2.374,1.214,0.871,-0.05,-2.17,1.231,1.031,0.670,28.53,7.04,2.178,1.161,0.905
batch_test_038,0.03,-2.08,1.233,1.038,0.630,28.28,9.43,2.185,1.503,0.847,0.07,-2.08,1.146,1.026,0.697,30.34,10.17,1.850,1.271,0.877
