Run_ID,Total_Score,Anechoic_PESQ_NB,Anechoic_PESQ_WB,Anechoic_STOI,Anechoic_SINR,Anechoic_SIR,Reverb_PESQ_NB,Reverb_PESQ_WB,Reverb_STOI,Reverb_SINR,Reverb_SIR
batch_test_3587,1.555762801863674,2.712,1.675,0.562,11.83,24.48,2.378,1.585,0.529,9.17,19.78
batch_test_7981,1.5500051444265759,2.326,1.619,0.749,12.31,52.34,2.433,1.7,0.715,11.87,37.36
batch_test_2756,1.540900525991386,2.112,1.593,0.857,13.17,38.75,2.118,1.7,0.824,11.33,29.98
batch_test_1081,1.5334959003558035,2.53,1.843,0.857,10.88,27.08,2.554,1.796,0.823,9.83,23.77
batch_test_8140,1.5302980372277952,2.542,1.759,0.857,9.48,22.24,2.2,1.575,0.755,6.83,16.51
batch_test_1636,1.5253575006495825,2.4,1.572,0.729,10.72,23.36,2.234,1.473,0.662,8.09,20.99
batch_test_8447,1.5214935922870994,2.224,1.462,0.726,10.59,22.7,2.266,1.564,0.613,9.24,20.38
batch_test_5435,1.5166040836424626,2.32,1.556,0.87,10.96,24.23,1.986,1.416,0.762,8.62,20.11
batch_test_2437,1.5129808571780239,2.14,1.534,0.818,14.15,57.41,2.279,1.613,0.777,13.2,42.22
batch_test_8092,1.5121273159234765,2.431,1.48,0.708,9.85,33.3,2.547,1.609,0.716,9.36,31.61
batch_test_4454,1.5119989747999756,2.549,1.637,0.889,13.14,47.86,2.565,1.795,0.84,13.09,34.43
batch_test_521,1.5054841538510557,2.37,1.668,0.793,12.09,24.78,2.274,1.665,0.678,9.11,18.7
batch_test_4284,1.5030662848324576,2.342,1.572,0.798,8.68,20.79,2.355,1.658,0.746,6.73,16.36
batch_test_4649,1.5026761536548139,2.555,1.847,0.878,11.06,28.53,2.596,1.752,0.829,10.05,24.82
batch_test_077,1.502075114749255,2.304,1.623,0.881,12.52,39.47,2.424,1.729,0.814,12.32,34.93
batch_test_5673,1.4990793713207649,2.263,1.563,0.839,8.92,35.92,2.627,1.708,0.841,8.63,31.06
batch_test_5541,1.4980344237654202,2.288,1.797,0.802,13.31,37.88,2.257,1.737,0.743,11.42,31.56
batch_test_1437,1.4944239577383307,2.527,1.771,0.887,11.38,43.49,2.909,1.928,0.884,11.2,39.32
batch_test_208,1.4928316897157248,2.212,1.546,0.68,10.92,24.7,1.958,1.422,0.568,8.27,20.8
batch_test_209,1.492248808650777,2.208,1.662,0.799,13.13,40.37,2.451,1.728,0.787,11.51,31.39
batch_test_3602,1.4900674635787765,2.218,1.48,0.883,10.23,23.33,2.145,1.472,0.817,8.58,20.44
batch_test_7259,1.4885786667938445,2.142,1.573,0.784,11.13,24.97,2.044,1.511,0.71,9.71,22.11
batch_test_4589,1.479464202713289,1.936,1.36,0.604,10.04,22.4,1.807,1.33,0.599,7.9,17.79
batch_test_7212,1.4770312768675855,1.989,1.357,0.802,13.05,47.41,2.268,1.603,0.787,12.2,43.03
batch_test_6634,1.4754611795392218,2.439,1.588,0.746,11.29,24.09,2.472,1.621,0.77,9.47,20.5
batch_test_9968,1.4746743297821534,2.166,1.444,0.752,8.79,30.76,2.291,1.57,0.711,7.95,24.67
batch_test_9830,1.4731441709019437,2.121,1.549,0.63,10.87,28.88,1.99,1.517,0.549,8.79,22.75
batch_test_2034,1.4712233021062844,2.49,1.748,0.829,10.94,23.75,2.165,1.608,0.729,8.23,19.86
batch_test_6110,1.4707333743205515,2.286,1.462,0.672,12.58,32.32,2.557,1.854,0.821,12.97,31.11
batch_test_6376,1.4697834049057277,2.301,1.472,0.862,11.1,23.74,2.35,1.675,0.775,8.87,19.89
batch_test_637,1.4689752289019493,2.038,1.438,0.726,10.94,24.47,1.91,1.357,0.673,8.71,20.59
batch_test_4084,1.4682674163477198,2.225,1.545,0.76,9.55,23.86,2.241,1.525,0.713,7.5,17.53
batch_test_7418,1.467643530333195,2.033,1.508,0.706,12.07,35.21,2.158,1.556,0.708,10.27,31.59
batch_test_9405,1.4674304323698906,2.123,1.525,0.792,14.57,53.46,2.378,1.687,0.781,14.0,42.43
batch_test_4025,1.4616837410586094,2.011,1.373,0.773,11.79,26.99,2.077,1.477,0.699,10.69,22.39
batch_test_1584,1.4615832056023277,2.263,1.549,0.746,10.68,43.19,2.478,1.701,0.724,9.39,33.06
batch_test_3536,1.4596022997696594,2.387,1.754,0.867,10.21,35.24,2.626,1.811,0.839,9.04,28.91
batch_test_3321,1.4593193950162606,2.165,1.351,0.662,10.8,23.38,1.918,1.385,0.64,8.77,19.07
batch_test_7937,1.4579897925333019,2.475,1.62,0.866,10.45,30.84,2.823,1.861,0.876,10.94,36.02
batch_test_8524,1.4572598822421847,2.156,1.528,0.706,9.54,24.07,1.901,1.44,0.661,7.11,17.44
