Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_000,0.04,-2.09,1.279,1.058,0.667,27.20,8.28,1.823,1.350,0.823,21.32,7.81,1.765,1.316,0.799,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.02,-2.12,1.363,1.066,0.666,20.13,8.20,2.071,1.317,0.792,15.15,7.48,1.953,1.261,0.779,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.00,-2.16,1.203,1.053,0.578,24.03,9.69,1.931,1.487,0.716,20.25,9.51,1.995,1.503,0.719,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.05,-2.19,1.441,1.102,0.664,22.99,9.93,2.248,1.488,0.802,19.10,9.42,2.098,1.565,0.788,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.03,-2.09,1.403,1.049,0.719,32.83,11.92,2.206,1.560,0.826,31.67,11.62,2.169,1.549,0.823,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.01,-2.13,1.346,1.043,0.650,38.23,13.85,2.050,1.461,0.723,37.73,13.61,2.091,1.513,0.723,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.01,-2.13,1.323,1.060,0.631,23.57,9.03,2.130,1.474,0.758,18.46,8.49,2.170,1.523,0.756,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.03,-2.13,1.181,1.029,0.705,18.34,6.70,1.833,1.268,0.788,15.69,6.85,1.892,1.331,0.789,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.05,-2.10,1.159,1.025,0.719,30.05,9.44,1.672,1.287,0.834,25.14,8.95,1.641,1.243,0.828,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.00,-2.13,1.333,1.040,0.670,21.66,9.83,1.846,1.281,0.767,18.74,9.35,1.830,1.286,0.758,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.03,-2.11,1.235,1.042,0.675,21.68,9.09,1.952,1.272,0.825,16.72,8.45,1.943,1.280,0.813,N/A,N/A,N/A,N/A,N/A
