Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_000,-0.02,-2.17,1.147,1.020,0.735,18.11,5.43,1.611,1.130,0.798,15.01,5.03,1.594,1.135,0.794,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.02,-2.09,1.377,1.053,0.636,25.18,10.02,2.156,1.476,0.777,18.86,9.72,2.169,1.510,0.765,N/A,N/A,N/A,N/A,N/A
batch_test_001,-0.03,-2.15,1.360,1.035,0.512,19.70,9.20,2.074,1.373,0.675,15.26,8.55,2.067,1.413,0.654,N/A,N/A,N/A,N/A,N/A
batch_test_002,-0.00,-2.12,1.218,1.030,0.567,15.33,6.78,1.621,1.214,0.711,13.41,6.23,1.651,1.216,0.706,N/A,N/A,N/A,N/A,N/A
batch_test_003,-0.04,-2.17,1.458,1.064,0.517,20.89,9.41,2.174,1.352,0.633,16.37,8.77,2.130,1.331,0.636,N/A,N/A,N/A,N/A,N/A
batch_test_004,-0.06,-2.17,1.198,1.041,0.585,23.91,9.93,1.994,1.354,0.695,19.07,9.46,1.932,1.312,0.700,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.01,-2.10,1.471,1.047,0.793,24.00,9.43,2.137,1.349,0.854,19.20,9.20,2.171,1.369,0.853,N/A,N/A,N/A,N/A,N/A
batch_test_001,0.02,-2.11,0.000,0.000,0.555,22.40,8.14,0.000,0.000,0.623,17.98,7.88,0.000,0.000,0.634,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.00,-2.14,1.315,1.020,0.659,23.68,8.84,2.132,1.100,0.726,20.06,8.39,2.054,1.089,0.722,N/A,N/A,N/A,N/A,N/A
batch_test_001,0.01,-2.11,1.554,1.065,0.731,23.00,11.72,2.213,1.517,0.790,21.39,11.33,2.202,1.521,0.782,N/A,N/A,N/A,N/A,N/A
batch_test_002,-0.04,-2.15,1.198,1.027,0.705,23.95,13.03,1.880,1.390,0.802,19.74,12.14,1.901,1.354,0.799,N/A,N/A,N/A,N/A,N/A
batch_test_003,-0.03,-2.13,1.312,1.031,0.507,16.30,7.66,1.793,1.288,0.657,13.62,6.93,1.710,1.249,0.642,N/A,N/A,N/A,N/A,N/A
batch_test_004,0.01,-2.12,1.221,1.051,0.612,22.31,9.90,1.883,1.335,0.749,16.96,9.43,1.804,1.322,0.747,N/A,N/A,N/A,N/A,N/A
batch_test_005,-0.02,-2.14,1.286,1.027,0.738,23.72,11.62,2.080,1.386,0.812,19.98,11.00,2.077,1.375,0.810,N/A,N/A,N/A,N/A,N/A
batch_test_006,-0.00,-2.15,1.176,1.029,0.706,26.11,11.91,2.040,1.353,0.784,20.10,10.83,1.950,1.337,0.780,N/A,N/A,N/A,N/A,N/A
batch_test_007,-0.01,-2.13,1.269,1.067,0.582,23.49,11.30,1.836,1.310,0.676,17.80,10.50,1.843,1.334,0.670,N/A,N/A,N/A,N/A,N/A
batch_test_008,0.00,-2.14,1.404,1.040,0.722,22.90,8.66,2.061,1.363,0.866,16.78,7.87,1.930,1.330,0.855,N/A,N/A,N/A,N/A,N/A
batch_test_009,0.01,-2.13,1.312,1.036,0.778,24.59,13.26,2.190,1.488,0.837,22.99,12.76,2.167,1.434,0.833,N/A,N/A,N/A,N/A,N/A
batch_test_010,0.02,-2.10,1.362,1.041,0.653,23.54,9.38,2.045,1.447,0.825,16.37,8.37,1.961,1.363,0.805,N/A,N/A,N/A,N/A,N/A
batch_test_011,-0.00,-2.13,1.202,1.034,0.688,25.40,8.47,1.704,1.219,0.799,20.78,7.84,1.647,1.169,0.788,N/A,N/A,N/A,N/A,N/A
batch_test_012,-0.02,-2.13,1.186,1.033,0.596,20.36,9.85,1.713,1.153,0.764,17.38,9.25,1.633,1.133,0.750,N/A,N/A,N/A,N/A,N/A
