Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_000,0.01,-2.11,1.206,1.037,0.540,16.90,6.08,1.605,1.251,0.626,15.52,5.91,1.680,1.300,0.637,N/A,N/A,N/A,N/A,N/A
batch_test_001,0.01,-2.14,1.273,1.056,0.634,16.87,7.92,2.029,1.474,0.800,14.56,7.55,2.011,1.434,0.793,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.02,-2.15,1.247,1.021,0.615,17.06,5.06,0.000,0.000,0.716,15.71,4.81,1.832,1.226,0.721,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.00,-2.13,1.382,1.056,0.537,18.94,8.02,2.063,1.431,0.680,13.90,7.39,2.124,1.496,0.678,N/A,N/A,N/A,N/A,N/A
batch_test_001,0.04,-2.09,1.381,1.050,0.434,15.54,6.88,1.980,1.412,0.607,13.40,6.70,1.996,1.440,0.598,N/A,N/A,N/A,N/A,N/A
batch_test_002,-0.00,-2.11,1.277,1.036,0.483,14.12,5.24,1.668,1.226,0.640,11.92,5.05,1.728,1.275,0.642,N/A,N/A,N/A,N/A,N/A
batch_test_003,0.02,-2.10,1.556,1.081,0.490,19.50,8.46,2.038,1.443,0.608,16.05,8.07,2.090,1.478,0.623,N/A,N/A,N/A,N/A,N/A
batch_test_004,-0.03,-2.16,1.356,1.050,0.514,17.77,7.12,1.924,1.433,0.644,15.42,6.87,1.937,1.456,0.641,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.01,-2.12,1.572,1.073,0.719,26.42,9.83,2.287,1.465,0.817,19.61,9.44,2.403,1.536,0.818,N/A,N/A,N/A,N/A,N/A
batch_test_001,0.01,-2.12,1.551,1.077,0.507,14.37,6.52,0.000,0.000,0.610,12.69,6.49,2.268,1.535,0.625,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.02,-2.10,1.390,1.042,0.580,19.04,7.28,2.178,1.349,0.703,16.76,7.07,2.165,1.367,0.694,N/A,N/A,N/A,N/A,N/A
batch_test_001,-0.04,-2.14,1.616,1.091,0.619,22.57,11.12,2.408,1.612,0.723,21.29,11.16,2.408,1.643,0.725,N/A,N/A,N/A,N/A,N/A
batch_test_002,-0.01,-2.13,1.231,1.031,0.580,22.36,9.56,1.819,1.357,0.682,18.09,9.11,1.877,1.265,0.687,N/A,N/A,N/A,N/A,N/A
batch_test_003,0.00,-2.11,1.417,1.049,0.475,17.16,6.93,1.847,1.299,0.627,14.88,6.58,1.835,1.296,0.628,N/A,N/A,N/A,N/A,N/A
batch_test_004,-0.02,-2.14,1.273,1.053,0.497,15.00,6.45,1.676,1.275,0.636,13.24,6.53,1.749,1.324,0.649,N/A,N/A,N/A,N/A,N/A
batch_test_005,-0.01,-2.14,1.279,1.028,0.551,19.94,7.94,1.923,1.328,0.660,18.00,7.75,1.950,1.358,0.663,N/A,N/A,N/A,N/A,N/A
batch_test_006,-0.01,-2.14,1.204,1.029,0.591,17.25,7.88,1.852,1.374,0.694,14.81,7.40,1.860,1.418,0.681,N/A,N/A,N/A,N/A,N/A
batch_test_007,0.02,-2.12,1.347,1.082,0.505,15.08,7.58,1.713,1.299,0.629,12.63,7.33,1.747,1.349,0.618,N/A,N/A,N/A,N/A,N/A
batch_test_008,0.03,-2.10,1.509,1.044,0.641,17.96,6.62,2.210,1.547,0.813,14.74,6.26,2.184,1.520,0.797,N/A,N/A,N/A,N/A,N/A
batch_test_009,-0.04,-2.17,1.491,1.056,0.661,23.30,12.10,2.374,1.510,0.771,20.44,11.80,2.379,1.540,0.771,N/A,N/A,N/A,N/A,N/A
batch_test_010,-0.01,-2.13,1.446,1.065,0.586,15.96,6.78,2.120,1.434,0.753,13.16,6.34,2.114,1.445,0.740,N/A,N/A,N/A,N/A,N/A
batch_test_011,-0.00,-2.12,1.322,1.033,0.575,20.31,6.67,1.745,1.237,0.728,17.36,6.38,1.790,1.264,0.729,N/A,N/A,N/A,N/A,N/A
batch_test_012,-0.04,-2.15,1.274,1.040,0.563,19.09,7.19,1.716,1.258,0.724,16.35,6.87,1.718,1.305,0.714,N/A,N/A,N/A,N/A,N/A
batch_test_013,-0.05,-2.19,1.930,1.072,0.573,12.55,5.68,2.498,1.273,0.684,10.88,5.46,2.536,1.233,0.685,N/A,N/A,N/A,N/A,N/A
batch_test_014,0.01,-2.12,1.231,1.035,0.482,11.70,3.71,1.521,1.185,0.578,9.90,3.63,1.587,1.211,0.576,N/A,N/A,N/A,N/A,N/A
batch_test_015,0.03,-2.14,1.427,1.047,0.606,16.21,6.65,1.954,1.324,0.722,13.30,6.27,2.008,1.385,0.724,N/A,N/A,N/A,N/A,N/A
batch_test_016,-0.03,-2.15,1.295,1.068,0.701,31.92,8.96,2.436,1.689,0.842,27.71,8.83,2.543,1.796,0.849,N/A,N/A,N/A,N/A,N/A
