Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_8092,0.8180780816531594,2.626,1.671,0.719,9.34,29.78
batch_test_1081,0.8154280868895025,2.655,1.899,0.822,9.64,21.25
batch_test_1437,0.8082105921344905,2.994,2.014,0.883,11.16,34.67
batch_test_7981,0.8066157823214092,2.458,1.759,0.716,11.73,35.43
batch_test_7212,0.803571577001616,2.332,1.662,0.788,12.08,39.72
batch_test_2671,0.8029002859954703,2.556,1.968,0.794,9.83,23.24
batch_test_4795,0.8023456505081015,2.574,1.889,0.758,14.23,50.84
batch_test_2756,0.8016309471559849,2.141,1.695,0.813,11.19,24.33
batch_test_5673,0.7996988157813587,2.626,1.757,0.841,8.6,27.38
batch_test_6584,0.7985362172687446,2.438,1.662,0.683,10.47,30.43
batch_test_209,0.7964027676773126,2.519,1.79,0.787,11.56,26.86
batch_test_4025,0.7943056974135738,2.136,1.552,0.701,10.15,18.14
batch_test_2437,0.7939552674038164,2.347,1.675,0.78,13.17,39.77
batch_test_1584,0.7922158480297763,2.593,1.755,0.728,9.38,29.23
batch_test_6110,0.7899619912411369,2.579,1.886,0.815,12.59,23.33
batch_test_077,0.7899325851141001,2.422,1.76,0.811,12.13,32.57
batch_test_9405,0.7887738994858737,2.483,1.766,0.783,14.02,41.53
batch_test_7937,0.7878134712554731,2.834,1.9,0.874,10.84,35.23
batch_test_1180,0.786890530378724,2.332,1.754,0.788,9.9,19.71
batch_test_4575,0.7841418423164344,2.228,1.445,0.784,10.97,20.59
batch_test_4326,0.7827746571736589,2.746,1.825,0.702,10.6,28.77
batch_test_6286,0.7766656596431482,2.656,1.693,0.855,10.63,22.54
batch_test_4649,0.7745075878782572,2.614,1.808,0.826,9.41,17.6
batch_test_637,0.7676927617255883,1.981,1.436,0.664,8.35,16.48
batch_test_5541,0.7665646878642354,2.295,1.814,0.753,11.52,28.73
batch_test_273,0.7655615682909094,2.768,1.948,0.765,9.56,26.64
batch_test_7418,0.7641622655600312,2.285,1.664,0.705,10.6,26.03
batch_test_5465,0.7620090915031068,2.752,1.796,0.841,12.03,36.76
batch_test_4262,0.7617227484516123,2.372,1.544,0.856,10.17,28.33
batch_test_4084,0.7587253971874676,2.187,1.517,0.693,7.2,14.65
batch_test_1885,0.758722367187741,2.611,1.838,0.816,12.95,39.79
batch_test_5623,0.7576367904423199,2.75,1.917,0.872,11.19,35.71
batch_test_6663,0.7565618564450762,2.459,1.942,0.845,12.41,34.17
batch_test_5979,0.7554385282767715,2.448,1.623,0.71,6.58,13.54
batch_test_9512,0.7537468458146451,2.367,1.602,0.847,10.99,27.63
batch_test_7761,0.7525616752954494,2.6,1.803,0.892,10.0,42.77
batch_test_7259,0.7525015559547823,2.142,1.574,0.697,9.58,19.96
batch_test_3475,0.7520474857294556,2.378,1.617,0.731,10.69,25.56
batch_test_6485,0.7520182767575744,2.374,1.64,0.794,9.72,31.86
batch_test_6634,0.7508637843819158,2.414,1.635,0.756,9.08,16.87
batch_test_7391,0.7503913085971972,2.507,1.678,0.857,9.46,25.4
batch_test_4607,0.7503245285567403,2.509,1.625,0.796,10.84,24.67
batch_test_4454,0.7501586759715118,2.575,1.807,0.829,12.96,32.55
batch_test_521,0.7499408161017915,2.222,1.655,0.672,8.92,16.52
batch_test_5813,0.749895603123737,2.444,1.798,0.821,11.56,34.3
batch_test_3865,0.7498887643210329,2.321,1.606,0.748,11.09,28.79
batch_test_1189,0.7495110150252499,2.337,1.728,0.668,9.91,33.09
batch_test_3916,0.7489599961492167,2.537,1.805,0.836,13.16,43.01
batch_test_2973,0.7485748702698886,2.615,1.805,0.826,9.62,34.78
batch_test_5049,0.7484442704811919,2.467,1.644,0.788,6.67,19.79
batch_test_016,0.7481161438514363,2.543,1.796,0.849,8.83,27.71
batch_test_644,0.747076723548544,2.326,1.632,0.757,12.87,34.27
batch_test_3536,0.7466526090535947,2.629,1.874,0.835,9.02,24.8
batch_test_1050,0.7460909830151066,1.906,1.304,0.656,7.32,15.93
batch_test_8259,0.7459042318818087,2.315,1.672,0.806,13.22,30.48
batch_test_4225,0.7455289823709295,2.249,1.695,0.745,9.49,21.58
batch_test_8445,0.7454906436860378,2.777,2.008,0.849,9.79,38.81
batch_test_4759,0.7445973584093175,2.177,1.619,0.8,7.71,16.23
batch_test_7249,0.7440784666172906,2.051,1.579,0.654,7.98,19.01
batch_test_570,0.7440306756029882,2.397,1.834,0.773,13.62,42.0
