Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_1636,0.7867722803511522,2.329,1.558,0.702,9.79,17.59
batch_test_208,0.7758423066722343,2.166,1.55,0.644,9.9,18.36
batch_test_3587,0.773735222502799,2.635,1.636,0.54,10.75,18.78
batch_test_6915,0.7710414961976558,1.988,1.475,0.602,10.36,20.78
batch_test_7981,0.7686694422333218,2.34,1.66,0.744,12.14,50.46
batch_test_1081,0.7630829374742554,2.635,1.884,0.853,10.53,23.88
batch_test_5541,0.7611760604671473,2.234,1.78,0.805,13.09,34.75
batch_test_1271,0.755211225421095,2.181,1.538,0.819,9.99,31.16
batch_test_2437,0.7538997627209754,2.151,1.593,0.817,14.05,57.14
batch_test_5302,0.7530311322518084,2.019,1.374,0.75,9.38,18.18
batch_test_8140,0.7524085678952291,2.405,1.707,0.832,8.45,15.18
batch_test_8873,0.7510016977149572,1.866,1.38,0.704,9.71,16.79
batch_test_168,0.7499291161983406,2.589,1.648,0.82,8.66,17.12
batch_test_1552,0.7471094364584332,2.165,1.623,0.681,13.54,45.69
batch_test_7259,0.7467401020681929,2.18,1.557,0.773,10.69,21.43
batch_test_9830,0.7467019105776264,2.176,1.58,0.614,10.57,24.57
batch_test_4761,0.7463595215638711,2.101,1.518,0.796,10.03,18.23
batch_test_2466,0.7426982473277878,2.369,1.717,0.869,12.06,40.47
batch_test_8092,0.7407740680413945,2.419,1.497,0.708,9.65,31.63
batch_test_5794,0.7387133882564387,2.56,1.505,0.787,8.96,14.95
batch_test_4071,0.7376606138655479,2.274,1.55,0.74,13.07,33.47
batch_test_1016,0.7375788163644955,2.083,1.472,0.615,10.28,18.7
batch_test_2051,0.7374488990474151,2.295,1.541,0.737,8.62,16.14
batch_test_4454,0.7340286352125834,2.482,1.631,0.876,12.87,45.56
batch_test_4309,0.7338865390595339,2.154,1.518,0.753,11.28,22.23
batch_test_7418,0.732870284542147,2.044,1.545,0.7,11.91,30.53
batch_test_8447,0.732035334996085,2.171,1.43,0.686,9.65,16.86
batch_test_1541,0.7309984467251308,1.978,1.334,0.73,10.18,19.09
batch_test_1189,0.7305091442809761,2.227,1.673,0.726,12.26,37.92
batch_test_261,0.7275954744985286,2.287,1.699,0.732,9.56,21.28
batch_test_1350,0.7272938647590707,2.009,1.373,0.675,7.94,16.85
batch_test_3071,0.7272794059738673,2.046,1.494,0.646,9.84,19.45
batch_test_521,0.7264912391483332,2.217,1.597,0.786,11.36,20.08
batch_test_3968,0.7264536206651633,2.278,1.548,0.742,9.51,18.39
batch_test_6088,0.7256093881002641,2.254,1.575,0.601,9.91,19.02
batch_test_3321,0.7250423777936876,2.061,1.35,0.651,10.26,19.49
batch_test_5673,0.7240601280188043,2.236,1.544,0.839,8.78,34.66
batch_test_5435,0.7234237079943282,2.178,1.441,0.851,9.97,18.56
batch_test_6018,0.7217869909619516,2.026,1.384,0.792,9.65,18.11
batch_test_3168,0.7217608914146091,2.248,1.511,0.702,7.59,16.24
batch_test_1907,0.7216568644073444,2.22,1.758,0.805,11.79,37.4
batch_test_1728,0.7208310881039931,2.01,1.361,0.674,10.05,18.8
batch_test_2326,0.7196986594529978,1.946,1.455,0.834,11.07,23.48
batch_test_3853,0.719618731132476,2.407,1.696,0.678,12.97,45.44
batch_test_2034,0.7188601984867969,2.336,1.632,0.812,9.93,18.26
batch_test_3856,0.7186588944842003,1.919,1.365,0.723,8.1,15.41
batch_test_2947,0.7181637794350837,2.181,1.545,0.825,11.75,31.27
batch_test_4800,0.7175220762436503,1.847,1.263,0.688,9.77,18.22
batch_test_5645,0.7170953454051527,2.261,1.552,0.735,11.9,19.75
batch_test_9068,0.7167694460556711,2.22,1.413,0.713,8.78,16.35
batch_test_2756,0.7167602370404151,2.074,1.542,0.853,12.89,32.44
batch_test_4465,0.7160330738192355,2.433,1.536,0.768,7.7,17.04
batch_test_2647,0.7159463588677148,2.154,1.564,0.746,9.42,19.4
