Run_ID,Performance_Score,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Raw_SINR,Raw_SIR
batch_test_1636,0.7962437906702652,2.4,1.572,0.729,10.72,23.36
batch_test_3587,0.7903790384591143,2.712,1.675,0.562,11.83,24.48
batch_test_208,0.7867915845358187,2.212,1.546,0.68,10.92,24.7
batch_test_8140,0.7744417804104701,2.542,1.759,0.857,9.48,22.24
batch_test_8447,0.7599217948321461,2.224,1.462,0.726,10.59,22.7
batch_test_6915,0.7561067929094423,1.962,1.429,0.627,10.77,25.16
batch_test_6018,0.7512660937097944,2.174,1.495,0.819,10.43,23.85
batch_test_2034,0.7499707783127443,2.49,1.748,0.829,10.94,23.75
batch_test_8873,0.749870791427504,1.964,1.416,0.719,10.64,22.41
batch_test_5435,0.7485842439265452,2.32,1.556,0.87,10.96,24.23
batch_test_168,0.7480682130155545,2.585,1.637,0.846,9.2,22.05
batch_test_5541,0.7480299663869574,2.288,1.797,0.802,13.31,37.88
batch_test_7981,0.7478039817406904,2.326,1.619,0.749,12.31,52.34
batch_test_1271,0.7420317500502472,2.228,1.575,0.819,10.26,38.56
batch_test_4454,0.7385879651786788,2.549,1.637,0.889,13.14,47.86
batch_test_521,0.7384068901763775,2.37,1.668,0.793,12.09,24.78
batch_test_3856,0.738172589607644,2.041,1.456,0.75,8.68,18.76
batch_test_8524,0.7368162228519104,2.156,1.528,0.706,9.54,24.07
batch_test_105,0.7367606042651125,2.345,1.538,0.788,9.58,24.98
batch_test_1081,0.7328923488048678,2.53,1.843,0.857,10.88,27.08
batch_test_3968,0.7315117969828541,2.318,1.543,0.763,10.31,24.13
batch_test_9830,0.7313502770972915,2.121,1.549,0.63,10.87,28.88
batch_test_2525,0.7312535969799183,2.117,1.473,0.778,9.61,21.83
batch_test_4761,0.7311749706648221,2.177,1.533,0.796,10.86,23.19
batch_test_7259,0.7304993791266545,2.142,1.573,0.784,11.13,24.97
batch_test_4284,0.7304041556799107,2.342,1.572,0.798,8.68,20.79
batch_test_1346,0.7303082143360023,2.045,1.496,0.759,11.74,23.35
batch_test_2456,0.7291808941432898,2.43,1.547,0.831,9.34,21.29
batch_test_5919,0.7290292733530489,2.012,1.478,0.826,9.45,24.09
batch_test_2437,0.7289977733588071,2.14,1.534,0.818,14.15,57.41
batch_test_5302,0.7289935475132916,2.037,1.377,0.756,9.95,22.17
batch_test_2051,0.7282215150786537,2.335,1.53,0.748,9.18,22.72
batch_test_1552,0.7274716514745492,2.109,1.559,0.688,13.72,48.46
batch_test_4589,0.726741122989653,1.936,1.36,0.604,10.04,22.4
batch_test_1016,0.7262463128962718,2.09,1.437,0.631,10.78,23.72
batch_test_3602,0.7256414473672992,2.218,1.48,0.883,10.23,23.33
batch_test_1907,0.7251887214933537,2.257,1.804,0.81,12.05,41.57
batch_test_2466,0.7250233941428763,2.365,1.698,0.87,12.09,44.78
batch_test_3168,0.7250041495264318,2.303,1.561,0.718,8.01,22.34
batch_test_6376,0.7246218858641011,2.301,1.472,0.862,11.1,23.74
batch_test_8536,0.7241672972328824,2.15,1.414,0.779,9.59,24.45
batch_test_7693,0.7237172884173338,2.102,1.425,0.781,10.6,24.35
batch_test_6903,0.7228512928131403,1.999,1.417,0.746,8.11,20.44
batch_test_9068,0.7214924166092828,2.364,1.449,0.724,9.53,21.83
batch_test_1189,0.7210613596804789,2.197,1.628,0.737,12.66,39.97
batch_test_5842,0.7210300931721675,2.452,1.564,0.774,10.09,22.54
batch_test_9194,0.719921881596404,2.135,1.427,0.811,9.39,25.06
batch_test_2756,0.7192602430744953,2.112,1.593,0.857,13.17,38.75
batch_test_149,0.7192032454247047,2.451,1.822,0.86,10.83,34.46
batch_test_3321,0.7186658846625422,2.165,1.351,0.662,10.8,23.38
batch_test_4071,0.7181531147309093,2.218,1.486,0.747,13.23,37.63
batch_test_1541,0.7180857846613053,2.102,1.342,0.736,10.68,22.31
batch_test_384,0.717821855357471,2.294,1.472,0.762,9.9,23.42
batch_test_4800,0.7171115035152625,1.83,1.268,0.715,10.44,22.76
batch_test_261,0.7169495228190247,2.276,1.707,0.737,10.02,25.6
batch_test_5794,0.7167920906271426,2.501,1.495,0.795,9.82,20.52
batch_test_4649,0.7160375085595023,2.555,1.847,0.878,11.06,28.53
batch_test_2647,0.7158283125838261,2.227,1.623,0.753,9.77,23.39
batch_test_3285,0.7146117201468709,2.448,1.749,0.772,11.58,40.98
batch_test_1769,0.7145500994336076,2.447,1.648,0.863,11.96,26.8
batch_test_9589,0.714477880439998,2.207,1.534,0.776,10.56,24.01
batch_test_7418,0.7143303861521192,2.033,1.508,0.706,12.07,35.21
batch_test_6464,0.7142989612044539,1.996,1.355,0.759,10.48,23.46
batch_test_5112,0.7139066865696801,2.578,1.646,0.595,10.25,26.59
batch_test_5837,0.7138359760960516,2.289,1.571,0.865,12.68,55.9
batch_test_4268,0.7136214552859127,2.369,1.729,0.837,8.8,23.74
batch_test_8022,0.713532342420959,2.172,1.62,0.814,13.4,36.59
batch_test_5802,0.7133180354043781,2.129,1.42,0.779,9.63,24.05
batch_test_8092,0.7128981819480343,2.431,1.48,0.708,9.85,33.3
batch_test_1350,0.712757440274218,2.053,1.329,0.692,8.25,22.08
batch_test_3540,0.7127361976744289,2.369,1.802,0.829,14.12,40.37
batch_test_4266,0.7119057817880361,2.323,1.683,0.839,13.73,39.32
batch_test_3455,0.7111673449032606,2.228,1.319,0.801,11.56,25.01
batch_test_1728,0.7110403259405118,2.065,1.348,0.687,10.68,23.04
batch_test_9727,0.7109283970770983,2.149,1.523,0.8,10.86,29.81
batch_test_228,0.7101173749114721,2.314,1.652,0.841,11.67,24.49
batch_test_2326,0.7098145294145367,1.968,1.49,0.84,11.51,28.08
batch_test_8756,0.709767657756807,2.116,1.599,0.726,11.69,25.37
batch_test_1663,0.7090642392837794,2.239,1.449,0.824,10.31,24.08
batch_test_7760,0.7084447249579793,2.3,1.69,0.777,11.43,38.84
batch_test_9968,0.7081861323324856,2.166,1.444,0.752,8.79,30.76
batch_test_8445,0.7080470352217119,2.427,1.707,0.868,11.12,59.48
batch_test_6126,0.7077596151431063,1.906,1.323,0.661,8.69,17.03
batch_test_9638,0.7076922524664153,2.052,1.456,0.787,10.66,25.44
batch_test_5169,0.7073389469503633,2.107,1.438,0.718,9.51,22.77
batch_test_9269,0.7059011413530765,2.377,1.586,0.876,10.49,22.54
batch_test_3071,0.705516318760038,2.052,1.455,0.65,10.35,24.86
batch_test_7334,0.7052173956618292,2.249,1.563,0.84,11.56,33.77
batch_test_8086,0.7049774850017363,2.089,1.445,0.793,9.38,21.69
batch_test_7420,0.7047329013135541,2.45,1.589,0.753,11.22,23.52
batch_test_7748,0.7044667677372791,2.44,1.586,0.702,8.48,23.47
batch_test_8815,0.7043110609477974,2.014,1.364,0.737,8.28,20.48
batch_test_247,0.7038606207509525,2.094,1.415,0.656,9.2,24.45
batch_test_5039,0.7038450103846908,2.02,1.405,0.69,11.01,23.2
