Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_000,-0.01,-2.14,1.292,1.057,0.623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_001,-0.01,-2.14,1.710,1.034,0.659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_002,0.03,-2.10,1.323,1.086,0.518,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_003,0.01,-2.13,1.332,1.042,0.677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_004,0.00,-2.12,1.369,1.154,0.491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.04,-2.11,1.296,1.033,0.718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_000,-0.02,-2.19,1.319,1.038,0.708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
batch_test_000,0.02,-2.13,1.229,1.034,0.651,22.21,3.74,1.401,1.074,0.700,18.82,4.24,1.499,1.096,0.725,N/A,N/A,N/A,N/A,N/A
batch_test_002,0.04,-2.10,1.201,1.049,0.766,44.36,9.90,1.693,1.190,0.789,40.98,10.56,1.810,1.253,0.808,N/A,N/A,N/A,N/A,N/A
batch_test_003,0.04,-2.09,1.149,1.025,0.623,24.14,8.03,1.381,1.085,0.672,21.52,8.04,1.426,1.113,0.683,N/A,N/A,N/A,N/A,N/A
batch_test_006,0.00,-2.14,1.228,1.031,0.536,24.84,7.03,1.460,1.142,0.609,22.10,7.37,1.544,1.194,0.632,N/A,N/A,N/A,N/A,N/A
batch_test_007,-0.01,-2.15,1.418,1.070,0.823,46.77,4.44,1.609,1.142,0.757,44.56,5.20,1.845,1.245,0.792,N/A,N/A,N/A,N/A,N/A
batch_test_010,0.01,-2.10,1.326,1.070,0.777,24.40,9.17,1.864,1.303,0.824,21.46,9.31,2.024,1.375,0.842,N/A,N/A,N/A,N/A,N/A
batch_test_011,-0.03,-2.16,1.228,1.044,0.586,23.45,6.05,1.613,1.185,0.690,20.02,6.22,1.723,1.241,0.711,N/A,N/A,N/A,N/A,N/A
batch_test_012,0.04,-2.13,1.343,1.064,0.667,22.33,6.78,1.647,1.160,0.734,19.86,7.18,1.761,1.222,0.752,N/A,N/A,N/A,N/A,N/A
batch_test_013,-0.00,-2.14,1.436,1.038,0.568,25.68,6.44,1.684,1.216,0.607,22.94,6.65,1.786,1.273,0.632,N/A,N/A,N/A,N/A,N/A
batch_test_016,0.02,-2.12,1.175,1.031,0.663,27.86,7.51,1.656,1.202,0.753,24.59,7.61,1.751,1.246,0.766,N/A,N/A,N/A,N/A,N/A
batch_test_019,0.06,-2.08,1.249,1.045,0.731,24.00,6.52,1.601,1.145,0.765,20.63,6.87,1.705,1.184,0.781,N/A,N/A,N/A,N/A,N/A
batch_test_022,-0.04,-2.17,1.329,1.050,0.711,24.85,6.31,1.759,1.175,0.770,21.95,6.59,1.893,1.247,0.792,N/A,N/A,N/A,N/A,N/A
batch_test_025,-0.00,-2.13,1.291,1.032,0.641,22.97,5.87,1.542,1.139,0.675,19.36,6.26,1.654,1.218,0.702,N/A,N/A,N/A,N/A,N/A
batch_test_026,0.01,-2.12,1.391,1.056,0.670,27.92,7.21,1.713,1.212,0.717,24.88,7.57,1.815,1.260,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_027,0.01,-2.13,1.377,1.027,0.697,22.14,5.48,1.764,1.194,0.761,19.82,5.68,1.844,1.209,0.774,N/A,N/A,N/A,N/A,N/A
batch_test_028,0.01,-2.12,1.324,1.024,0.559,25.69,9.53,1.741,1.047,0.600,24.52,9.62,1.823,1.058,0.622,N/A,N/A,N/A,N/A,N/A
batch_test_029,0.04,-2.11,1.287,1.042,0.638,27.37,8.84,1.746,1.240,0.718,24.48,9.02,1.846,1.295,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_030,0.01,-2.11,1.235,1.034,0.709,21.83,5.85,1.643,1.186,0.748,19.48,6.11,1.731,1.227,0.764,N/A,N/A,N/A,N/A,N/A
batch_test_031,0.01,-2.13,1.215,1.034,0.768,23.61,6.91,1.547,1.096,0.792,22.99,7.57,1.685,1.137,0.811,N/A,N/A,N/A,N/A,N/A
batch_test_033,-0.01,-2.12,1.249,1.043,0.614,22.93,4.88,1.575,1.134,0.671,21.21,5.43,1.685,1.229,0.694,N/A,N/A,N/A,N/A,N/A
batch_test_034,-0.00,-2.12,1.194,1.048,0.567,23.44,3.25,1.368,1.057,0.618,20.69,4.15,1.451,1.076,0.648,N/A,N/A,N/A,N/A,N/A
batch_test_035,-0.02,-2.13,1.471,1.095,0.802,27.59,9.24,1.975,1.289,0.842,24.89,9.69,2.092,1.369,0.856,N/A,N/A,N/A,N/A,N/A
batch_test_036,-0.00,-2.12,1.239,1.037,0.661,25.09,2.88,1.442,1.066,0.681,22.23,3.54,1.535,1.096,0.705,N/A,N/A,N/A,N/A,N/A
batch_test_037,-0.06,-2.19,1.511,1.106,0.680,22.33,7.89,1.937,1.308,0.726,20.73,8.36,2.045,1.321,0.746,N/A,N/A,N/A,N/A,N/A
batch_test_038,0.03,-2.10,1.149,1.026,0.646,20.74,3.46,1.357,1.058,0.708,17.99,4.20,1.442,1.078,0.734,N/A,N/A,N/A,N/A,N/A
batch_test_039,0.02,-2.13,1.206,1.030,0.670,24.47,4.38,1.447,1.091,0.753,21.65,4.79,1.576,1.147,0.775,N/A,N/A,N/A,N/A,N/A
batch_test_040,-0.02,-2.15,1.259,1.042,0.537,24.62,7.21,1.821,1.195,0.589,21.60,7.61,1.901,1.216,0.600,N/A,N/A,N/A,N/A,N/A
batch_test_042,-0.00,-2.11,1.410,1.039,0.505,26.29,8.36,1.798,1.256,0.531,23.62,8.65,1.893,1.314,0.551,N/A,N/A,N/A,N/A,N/A
batch_test_043,-0.05,-2.16,1.228,1.023,0.636,21.13,5.16,1.489,1.096,0.718,18.77,5.55,1.570,1.123,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_044,-0.01,-2.13,1.417,1.064,0.637,23.79,5.87,1.875,1.191,0.714,21.90,6.34,1.990,1.238,0.738,N/A,N/A,N/A,N/A,N/A
batch_test_045,-0.01,-2.13,1.255,1.028,0.523,25.23,7.50,1.616,1.152,0.627,22.48,7.65,1.681,1.192,0.636,N/A,N/A,N/A,N/A,N/A
batch_test_046,-0.01,-2.13,1.374,1.072,0.646,20.53,5.21,1.634,1.161,0.674,19.76,5.76,1.763,1.237,0.695,N/A,N/A,N/A,N/A,N/A
batch_test_047,-0.02,-2.13,1.220,1.028,0.678,25.29,7.23,1.626,1.158,0.758,23.42,7.49,1.685,1.187,0.770,N/A,N/A,N/A,N/A,N/A
batch_test_049,0.03,-2.09,1.208,1.049,0.484,23.34,7.05,1.616,1.136,0.613,21.31,7.44,1.735,1.191,0.627,N/A,N/A,N/A,N/A,N/A
